time,C6H6,CO,NO2,O3,PM10,PM25,SO2
2024-01-01 01:00:00,0.63,0.342,8.6,42.3,39.2,37.4,11.3
2024-01-01 02:00:00,0.52,0.342,5.3,43.8,19.6,18.8,9.5
2024-01-01 03:00:00,0.57,0.351,6.3,41.4,19.8,19.0,9.5
2024-01-01 04:00:00,0.58,0.352,5.6,40.9,19.4,18.7,9.7
2024-01-01 05:00:00,0.61,0.368,5.9,39.7,19.8,19.0,10.1
2024-01-01 06:00:00,0.62,0.367,6.5,38.6,21.3,20.3,10.7
2024-01-01 07:00:00,0.59,0.349,7.7,36.6,21.8,20.9,13.1
2024-01-01 08:00:00,0.62,0.357,6.1,37.5,23.0,21.9,10.6
2024-01-01 09:00:00,0.57,0.358,9.8,33.2,25.5,23.6,15.2
2024-01-01 10:00:00,0.65,0.37,7.4,34.5,21.8,20.9,11.6
2024-01-01 11:00:00,0.67,0.369,9.4,32.8,16.1,15.5,13.2
2024-01-01 12:00:00,0.72,0.384,8.6,32.8,16.4,15.9,10.7
2024-01-01 13:00:00,1.44,0.441,14.0,25.4,18.9,18.2,10.5
2024-01-01 14:00:00,1.19,0.467,19.5,19.3,17.8,17.3,10.6
2024-01-01 15:00:00,1.43,0.477,23.7,15.8,24.4,24.4,10.0
2024-01-01 16:00:00,1.4,0.491,23.4,15.0,17.3,16.6,10.2
2024-01-01 17:00:00,1.45,0.487,23.2,15.0,23.1,22.9,10.4
2024-01-01 18:00:00,1.5,0.515,19.9,16.7,29.0,29.0,10.4
2024-01-01 19:00:00,1.62,0.489,23.7,13.0,21.6,21.4,10.2
2024-01-01 20:00:00,1.22,0.455,22.7,13.8,19.1,18.7,10.5
2024-01-01 21:00:00,1.1,0.466,23.2,12.4,22.3,21.9,10.2
2024-01-01 22:00:00,1.27,0.447,21.3,14.7,20.3,19.7,10.1
2024-01-01 23:00:00,1.1,0.419,11.5,21.9,16.9,14.8,9.6
2024-01-02 00:00:00,1.02,0.419,10.1,22.0,20.8,16.6,9.8
2024-01-02 01:00:00,0.96,0.385,7.6,23.9,17.3,14.7,10.1
2024-01-02 02:00:00,0.83,0.379,6.6,23.8,17.0,14.2,9.7
2024-01-02 03:00:00,0.79,0.374,6.7,24.1,16.4,13.7,10.1
2024-01-02 04:00:00,0.87,0.405,7.5,22.2,12.7,11.8,9.8
2024-01-02 05:00:00,0.92,0.404,12.6,16.9,13.8,13.2,10.0
2024-01-02 06:00:00,1.16,0.422,16.1,13.6,12.2,11.4,10.1
2024-01-02 07:00:00,0.91,0.425,20.4,10.7,14.0,12.9,10.3
2024-01-02 08:00:00,1.11,0.495,25.1,6.5,19.9,17.6,11.7
2024-01-02 09:00:00,1.43,0.535,24.7,8.0,24.6,20.1,11.5
2024-01-02 10:00:00,1.22,0.506,24.1,6.7,21.7,19.6,10.7
2024-01-02 11:00:00,1.34,0.49,21.8,9.2,19.4,18.9,10.7
2024-01-02 12:00:00,1.42,0.475,22.5,8.8,24.2,21.5,11.9
2024-01-02 13:00:00,1.48,0.533,22.4,8.4,23.5,22.3,11.6
2024-01-02 14:00:00,1.62,0.509,21.3,8.3,21.3,20.2,12.3
2024-01-02 15:00:00,1.77,0.57,24.5,5.5,26.9,24.8,12.0
2024-01-02 16:00:00,2.29,0.624,23.4,5.0,30.7,24.8,11.1
2024-01-02 17:00:00,2.22,0.6,22.1,6.2,32.1,25.4,11.1
2024-01-02 18:00:00,1.88,0.505,19.4,8.5,22.8,21.6,11.1
2024-01-02 19:00:00,1.57,0.494,18.6,10.1,19.6,19.4,11.2
2024-01-02 20:00:00,1.41,0.458,15.4,12.6,20.3,20.1,11.4
2024-01-02 21:00:00,1.37,0.444,13.5,13.7,17.5,16.1,11.4
2024-01-02 22:00:00,1.27,0.435,12.4,14.2,23.4,18.7,11.5
2024-01-02 23:00:00,1.24,0.431,10.7,15.7,24.2,19.6,11.3
2024-01-03 00:00:00,1.18,0.43,9.7,17.2,24.9,20.0,11.7
2024-01-03 01:00:00,1.15,0.416,8.7,19.1,25.3,20.3,11.2
2024-01-03 02:00:00,1.06,0.405,8.2,21.0,19.7,19.2,11.8
2024-01-03 03:00:00,0.99,0.391,7.5,23.6,17.4,17.1,12.2
2024-01-03 04:00:00,0.9,0.398,6.8,24.9,18.0,17.6,12.1
2024-01-03 05:00:00,0.82,0.38,7.2,26.2,17.0,16.6,12.2
2024-01-03 06:00:00,0.76,0.385,9.6,25.2,14.9,14.5,12.5
2024-01-03 07:00:00,0.87,0.4,15.0,23.1,14.1,13.6,12.4
2024-01-03 08:00:00,1.01,0.405,16.2,21.6,15.1,14.5,13.0
2024-01-03 09:00:00,1.09,0.423,19.1,21.6,14.7,14.1,12.6
2024-01-03 10:00:00,0.96,0.401,14.5,23.9,16.4,15.6,12.9
2024-01-03 11:00:00,1.18,0.408,12.8,24.7,17.1,16.5,12.4
2024-01-03 12:00:00,1.21,0.4,11.7,25.6,17.1,16.4,12.0
2024-01-03 13:00:00,1.37,0.43,10.8,27.3,17.4,16.5,12.5
2024-01-03 14:00:00,1.33,0.422,12.8,26.5,17.0,15.9,12.4
